timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.51705E+15,0,-4,-2,-2,-2,0,-1,-1
1.51705E+15,-1,-1,0,-2,0,0,-1,1
1.51705E+15,1,0,0,0,-2,-2,-2,-1
1.51705E+15,-3,0,-1,1,-1,-1,-2,-1
1.51705E+15,-2,-2,-1,-1,0,-1,-2,-2
1.51705E+15,0,-1,-1,-1,-1,0,1,-1
1.51705E+15,0,-1,-2,-2,-2,-3,-1,0
1.51705E+15,-1,-1,-2,0,0,-1,0,-1
1.51705E+15,-2,-2,-1,-1,-2,-1,-1,-1
1.51705E+15,-4,-1,-3,-1,-3,1,-1,-2
1.51705E+15,-2,-3,-1,-2,0,-3,0,0
1.51705E+15,-2,-2,-1,-1,-1,-1,-3,-1
1.51705E+15,0,-2,-1,-1,0,-2,-2,0
1.51705E+15,-3,-2,-2,0,0,-1,-3,0
1.51705E+15,1,-1,-2,-1,-1,-1,0,0
1.51705E+15,-1,1,-3,-1,-1,-2,-1,0
1.51705E+15,-1,-1,0,-2,-2,-2,1,0
1.51705E+15,0,-1,0,-1,-1,-2,-2,-3
1.51705E+15,-2,-1,-2,0,0,-1,-1,-1
1.51705E+15,-1,-2,-3,0,0,-1,1,-1
1.51705E+15,-1,-1,0,-2,-2,-1,-1,0
1.51705E+15,0,-1,-2,0,0,-3,1,-2
1.51705E+15,-3,-2,0,-1,-1,0,-1,-1
1.51705E+15,-2,0,-1,-2,0,-2,-2,-1
1.51705E+15,-1,0,-2,0,0,0,0,-2
1.51705E+15,-2,0,-1,-1,-1,-1,-1,-1
1.51705E+15,-1,-2,-1,-1,-1,-2,-2,-1
1.51705E+15,-1,-1,-1,-1,-3,0,0,0
1.51705E+15,0,-2,-1,0,-2,0,-1,-2
1.51705E+15,-1,0,1,-2,-1,1,-2,-2
1.51705E+15,-1,-1,-2,0,-1,-2,-1,-2
1.51705E+15,-1,-1,-1,-2,-2,-1,-2,0
1.51705E+15,-3,-2,-2,-1,-1,-2,0,0
1.51705E+15,-1,-1,-2,-1,-1,1,-1,-1
1.51705E+15,-1,0,-1,-1,-1,-2,-1,0
1.51705E+15,-1,-1,-2,-1,-1,-2,-1,-2
1.51705E+15,0,-1,-3,-2,-1,-2,-1,-2
1.51705E+15,-2,1,-1,-1,-2,-1,-1,0
1.51705E+15,-1,-1,0,0,0,2,-2,-1
1.51705E+15,0,0,1,0,-1,0,-2,0
1.51705E+15,0,-2,1,-1,-1,-1,-1,-1
1.51705E+15,0,-2,-1,-2,-1,-2,-1,-1
1.51705E+15,0,-2,-1,-1,-1,0,-2,-1
1.51705E+15,-1,-2,-2,-1,-1,-1,1,-2
1.51705E+15,0,-2,-1,-1,0,0,-2,-1
1.51705E+15,-2,-2,-1,-1,-1,1,-1,-1
1.51705E+15,-1,-3,0,-1,-1,-1,1,0
1.51705E+15,-1,1,-1,-1,-1,-1,-1,-2
1.51705E+15,-3,-2,-1,-1,-3,-2,0,1
1.51705E+15,1,0,-1,0,-2,-2,-2,-1
1.51705E+15,-1,1,-1,0,0,-1,-1,-1
1.51705E+15,0,-2,-1,-2,-1,-3,-1,0
1.51705E+15,1,-1,-1,0,-1,-2,-2,-2
1.51705E+15,-1,-2,-1,-2,-1,-3,0,-1
1.51705E+15,-1,-1,-1,-2,-1,-2,0,-2
1.51705E+15,-2,-1,-1,-2,-1,-1,-2,-2
1.51705E+15,-2,0,-1,-1,-2,-2,0,-1
1.51705E+15,-2,-2,-1,-1,0,-2,-1,-2
1.51705E+15,-1,0,-3,-2,-1,0,-1,-1
1.51705E+15,0,-1,-1,-2,-2,-2,0,0
1.51705E+15,-1,-2,-1,-4,0,0,-2,-3
1.51705E+15,0,-2,0,1,0,-1,-1,0
1.51705E+15,-2,-2,0,-2,-1,-2,-1,-1
1.51705E+15,-2,-1,-3,-1,-1,1,0,-1
1.51705E+15,1,0,0,-1,1,-1,-1,-2
1.51705E+15,-1,-2,1,-1,-3,0,-2,0
1.51705E+15,-1,-1,-1,-1,0,-2,-2,-1
1.51705E+15,-1,0,-1,-2,0,-1,-2,0
1.51705E+15,-1,0,0,0,-2,1,0,-1
1.51705E+15,-1,-3,-1,-1,-2,0,-2,-1
1.51705E+15,-1,-3,-3,0,-3,-1,-1,-2
1.51705E+15,0,-2,0,-1,-1,-2,-2,-2
1.51705E+15,-1,0,-1,-1,-1,-2,-2,-1
1.51705E+15,1,-1,0,0,0,-2,-1,-1
1.51705E+15,-2,-1,-1,-3,0,1,-1,0
1.51705E+15,-3,-2,-2,-2,-2,-1,-1,-4
1.51705E+15,0,-1,-2,-1,-3,0,-1,-1
1.51705E+15,0,-3,-3,-1,-1,-3,-1,1
1.51705E+15,0,0,-1,-1,0,-2,-2,-2
1.51705E+15,-1,-1,0,0,0,1,0,-2
1.51705E+15,0,-1,-1,-1,-2,-1,0,-1
1.51705E+15,-2,0,-1,-1,-1,-1,-1,-2
1.51705E+15,-1,-1,1,-1,-1,-1,-1,-1
1.51705E+15,0,0,0,-2,-1,-3,-2,-2
1.51705E+15,-2,-2,-3,-1,0,-3,1,-2
1.51705E+15,-1,-1,-1,-3,-1,1,-2,0
1.51705E+15,-2,-2,-3,-1,-2,-2,-1,0
1.51705E+15,1,-1,0,-1,-1,-1,0,1
1.51705E+15,-2,0,-1,-2,-1,0,-1,0
1.51705E+15,0,0,0,1,-2,1,-2,-1
1.51705E+15,-1,-1,-1,-1,0,-1,-2,-1
1.51705E+15,-2,-1,-1,-2,-1,0,1,0
1.51705E+15,-1,-1,-1,-1,0,0,-1,1
1.51705E+15,-1,0,-2,-1,-1,-2,1,-2
1.51705E+15,0,-1,-1,-2,0,-2,-1,-2
1.51705E+15,0,-1,-1,1,-2,-2,-1,0
1.51705E+15,-2,-1,-1,0,-1,-3,-2,0
1.51705E+15,-2,-1,-1,-2,-1,-3,-2,-2
1.51705E+15,0,-1,-2,-1,-1,-2,-2,-1
1.51705E+15,-2,-1,-2,-1,-1,-1,-1,-1
1.51705E+15,0,-1,0,-1,1,-1,-1,-2
1.51705E+15,-1,-1,-2,-1,-1,0,0,-1
1.51705E+15,-2,-1,0,-1,-1,-1,1,-1
1.51705E+15,-2,-1,-2,0,-2,-1,-1,-2
1.51705E+15,-1,-1,-1,-1,-1,-1,-4,0
1.51705E+15,-1,0,0,0,0,0,-2,-1
1.51705E+15,-1,-1,0,-1,-1,1,-1,-2
1.51705E+15,-2,-1,-1,-1,-1,-1,-1,-2
1.51705E+15,-1,-2,0,-1,-2,0,0,0
1.51705E+15,-1,-2,-2,-1,0,-3,-1,-2
1.51705E+15,-1,0,-2,0,-2,0,-1,0
1.51705E+15,0,-1,-1,-3,0,-1,-2,-1
1.51705E+15,-2,0,0,-2,0,1,0,0
1.51705E+15,-1,0,0,-1,0,-2,0,0
1.51705E+15,-1,-2,-1,0,-1,0,0,0
1.51705E+15,0,-2,-1,-1,-1,-1,0,-1
1.51705E+15,-1,-2,-1,0,-2,-1,0,-2
1.51705E+15,0,0,0,-2,-1,0,-2,-1
1.51705E+15,-1,-1,-1,-1,-1,-1,-1,-2
1.51705E+15,0,0,0,-2,-1,-1,0,0
1.51705E+15,0,-1,-1,-1,-1,-1,0,0
1.51705E+15,-1,-1,-1,0,-1,0,-2,-1
1.51705E+15,-2,0,-1,-2,-2,-2,-2,-1
1.51705E+15,-1,-2,-1,1,0,-1,0,-1
1.51705E+15,-1,-1,0,-2,-2,-2,-1,-1
1.51705E+15,-1,-1,-1,-1,-3,-2,1,-2
1.51705E+15,-1,-2,0,-1,0,0,-1,-3
1.51705E+15,-1,-2,-1,1,-2,0,-2,0
1.51705E+15,-1,-1,-2,-2,-1,-1,-1,-3
1.51705E+15,-2,-3,-1,-1,-1,1,-2,0
1.51705E+15,-1,0,-2,-1,-2,-1,0,-1
1.51705E+15,-2,0,-1,-2,-1,-1,-1,-2
1.51705E+15,1,-1,-2,-1,0,-2,0,-1
1.51705E+15,0,-1,-2,-3,-3,-2,-1,-2
1.51705E+15,0,-2,-1,-2,-2,0,0,-1
1.51705E+15,-1,-1,-1,0,0,1,-1,-2
1.51705E+15,-1,0,-1,-2,-1,-1,0,-2
1.51705E+15,1,0,0,0,-2,-2,-1,0
1.51705E+15,-3,-1,-1,-1,0,-1,-2,0
1.51705E+15,0,0,-2,-2,0,-1,0,-2
1.51705E+15,-1,-1,-1,-1,-1,-1,-1,-1
1.51705E+15,-1,-2,-3,-1,-1,-1,-1,-2
1.51705E+15,-3,-1,0,0,-2,-1,0,-1
1.51705E+15,0,-3,-1,-1,-1,-1,-2,-2
1.51705E+15,-2,0,-2,-1,-1,-2,-1,-1
1.51705E+15,0,-3,0,-2,0,1,1,0
1.51705E+15,1,-1,-1,-1,0,0,0,-1
1.51705E+15,-1,-1,-1,-2,-1,-3,-1,1
1.51705E+15,1,-1,-1,-1,-2,-2,-1,-2
1.51705E+15,0,-1,-3,-1,-1,-1,-1,0
1.51705E+15,-1,-1,-1,-2,-1,-2,-1,0
1.51705E+15,-1,-2,0,-1,-1,-1,1,0
1.51705E+15,-1,-1,-1,-1,-2,-1,-1,1
1.51705E+15,0,-1,0,-2,-1,-2,-1,0
1.51705E+15,-1,-1,-2,0,0,-1,-2,-2
1.51705E+15,-1,0,-3,-2,-2,-2,-1,0
1.51705E+15,1,-2,-1,-3,0,0,-1,-1
1.51705E+15,-2,-1,0,-1,-2,-1,-1,-1
1.51705E+15,0,0,0,-2,-1,-1,-1,0
1.51705E+15,-2,-1,0,0,-1,0,-1,-1
1.51705E+15,-3,-1,-2,-1,-1,-1,-1,-2
1.51705E+15,-2,-1,-2,1,-1,-1,-2,-1
1.51705E+15,-1,-1,-2,-1,-1,-2,-1,-1
1.51705E+15,-1,-1,-1,0,-1,-2,-2,-1
1.51705E+15,-2,-1,-1,1,0,-1,-2,-1
1.51705E+15,0,-1,-1,0,-3,-1,0,-1
1.51705E+15,0,-1,-1,-1,-1,-2,0,-1
1.51705E+15,-1,0,-1,1,-1,-1,-1,-2
1.51705E+15,0,0,-1,-2,-2,-1,-1,0
1.51705E+15,-2,-1,-1,0,-1,-2,0,0
1.51705E+15,0,-1,-2,-1,-3,-1,-1,0
1.51705E+15,-1,-2,-1,-1,-1,0,-2,-2
1.51705E+15,0,-4,0,-2,-2,-2,-1,-2
1.51705E+15,-1,1,1,0,-1,-1,-1,0
1.51705E+15,-2,0,0,-1,0,-1,1,-2
1.51705E+15,0,-1,-1,-2,-1,-2,0,-1
1.51705E+15,-1,-1,-2,0,0,2,0,-1
1.51705E+15,0,-2,-1,-2,-1,-1,0,-2
1.51705E+15,-1,-1,0,0,-2,0,-3,-1
1.51705E+15,-1,-1,-3,-1,-2,0,0,-2
1.51705E+15,-2,-3,0,0,-1,0,-1,-1
1.51705E+15,1,0,0,-3,-1,-1,1,0
1.51705E+15,0,1,-3,-2,-1,-1,-1,-1
1.51705E+15,-1,-2,-1,1,1,-1,-1,-1
1.51705E+15,0,0,0,-3,-2,-3,1,-2
1.51705E+15,-2,0,-1,-1,-2,0,-2,-2
1.51705E+15,0,-3,1,-2,-1,-3,-1,0
1.51705E+15,-1,-1,1,0,-2,1,-1,2
1.51705E+15,-1,-2,0,0,-2,-1,-2,-1
1.51705E+15,-1,-2,-3,0,-1,-1,-2,-1
1.51705E+15,0,-2,-2,-3,-1,-1,-2,0
1.51705E+15,-1,-3,-1,-2,0,-2,-1,0
1.51705E+15,-1,-1,-1,-3,-2,-2,-3,0
1.51705E+15,-1,-2,0,-1,-1,-1,0,-2
1.51705E+15,-1,0,-1,-1,1,-1,-1,0
1.51705E+15,-1,-1,-2,-2,0,-1,0,-2
1.51705E+15,-2,0,-1,-1,0,-1,0,0
1.51705E+15,0,-2,-2,-1,-1,-1,0,-1
1.51705E+15,0,0,-2,0,0,-1,-2,-3
1.51705E+15,-1,0,-1,-1,-2,-1,-1,-2
1.51705E+15,0,-1,-1,-2,0,-2,-1,-3
1.51705E+15,-2,-2,0,-2,-2,1,-2,0
1.51705E+15,-1,-4,-1,0,-2,-1,0,0
1.51705E+15,-1,-1,-2,-2,-3,0,-1,-2
1.51705E+15,-2,-2,-1,1,1,1,0,0
1.51705E+15,-2,1,-1,-2,0,-1,0,-2
1.51705E+15,-2,-1,-2,0,-3,0,-2,0
1.51705E+15,0,0,-1,-1,0,0,0,-2
1.51705E+15,-2,-2,-2,-2,-2,-1,-2,1
1.51705E+15,0,0,-1,-2,-1,-1,-1,-3
1.51705E+15,-2,-1,-1,-1,-1,-1,-1,-3
1.51705E+15,-1,-2,-2,-2,-2,-2,0,-1
1.51705E+15,0,0,-1,0,-1,-1,0,-1
1.51705E+15,-2,-3,-1,-2,-2,0,0,-1
1.51705E+15,0,0,-3,-2,-1,-2,-1,-2
1.51705E+15,-1,-2,-2,0,-1,0,-1,0
1.51705E+15,-1,0,-3,0,-3,-2,-1,-1
1.51705E+15,-2,-2,-2,0,1,0,-1,0
1.51705E+15,-2,-1,-1,-2,-2,-1,-1,0
1.51705E+15,-1,-1,-1,0,-1,-1,0,-1
1.51705E+15,0,0,-1,-1,-2,0,-2,-1
1.51705E+15,-1,-1,-2,1,-2,0,-1,-1
1.51705E+15,-2,-1,-2,-2,0,1,-1,-1
1.51705E+15,-1,-1,-1,-2,-1,-3,-2,0
1.51705E+15,-3,1,-1,-1,-1,-2,-2,-1
1.51705E+15,0,0,0,-2,0,-1,-2,-2
1.51705E+15,0,-2,0,-1,0,-1,-1,-2
1.51705E+15,-1,-1,0,-3,-2,-2,0,-1
1.51705E+15,0,-1,-1,-1,-1,-3,0,-1
1.51705E+15,-2,-1,-2,-2,-2,-1,-2,0
1.51705E+15,0,-1,-2,-1,-2,-2,0,1
1.51705E+15,-3,0,-1,0,-1,-2,-1,-4
1.51705E+15,-1,-2,0,1,0,-3,1,-1
1.51705E+15,-1,-1,-1,0,-1,0,0,-1
1.51705E+15,0,0,-1,0,-2,-1,-1,-1
1.51705E+15,-2,-2,0,-3,-1,-1,-2,-2
1.51705E+15,0,0,-1,-2,-1,0,-2,0
1.51705E+15,0,-1,-2,-3,1,-3,-1,-1
1.51705E+15,-2,-2,0,-1,-1,-1,1,-1
1.51705E+15,0,-1,-2,0,-3,-1,-2,-1
1.51705E+15,-1,-2,-3,-2,0,1,0,-1
1.51705E+15,-1,-2,-3,-1,0,-1,-2,0
1.51705E+15,-1,0,0,-1,-2,-1,-2,-1
1.51705E+15,-1,-1,-2,-1,-1,0,-1,-2
1.51705E+15,-1,-1,-1,-3,0,0,0,-1
1.51705E+15,-1,-1,-1,-1,0,1,-2,-2
1.51705E+15,-2,-1,-2,-1,-1,-2,-1,0
1.51705E+15,0,0,0,0,-2,-2,-1,0
1.51705E+15,0,-1,-1,0,-1,-2,-2,1
1.51705E+15,-1,-1,-1,-2,-2,-2,-1,-2
1.51705E+15,-2,-1,-1,0,-1,-1,-2,0
1.51705E+15,-1,-2,-1,-1,-2,1,0,-2
1.51705E+15,-1,-3,-1,-1,-2,-2,-1,-1
1.51705E+15,-3,0,0,-1,-1,-1,-1,-1
1.51705E+15,-1,0,0,-1,-2,1,0,-1
1.51705E+15,0,0,-2,-2,-2,-5,-1,-1
1.51705E+15,-1,-1,-1,-1,-1,-2,-2,-3
1.51705E+15,-3,0,-1,-1,-2,-3,0,-2
1.51705E+15,-1,-2,-2,-1,-1,-1,1,-1
1.51705E+15,-2,-1,0,0,1,-2,-2,0
1.51705E+15,-2,-2,0,-3,-1,-1,-1,-1
1.51705E+15,-2,-1,-2,-1,0,-1,-1,-1
1.51705E+15,-1,-1,-1,-1,0,0,-1,-1
1.51705E+15,-2,-1,-2,-1,0,-2,0,-2
1.51705E+15,-1,0,-1,-1,-1,-2,0,2
1.51705E+15,1,0,0,-1,-1,-1,-2,-1
1.51705E+15,-2,-1,-2,-2,-1,-1,-1,-1
1.51705E+15,-2,-3,-1,0,0,0,1,0
1.51705E+15,-2,-1,0,-2,-1,-2,-1,-3
1.51705E+15,-2,-3,-1,-1,-1,-2,-2,-1
1.51705E+15,-1,-1,1,0,-2,-1,-1,-1
1.51705E+15,0,1,-1,-1,-2,0,-1,-1
1.51705E+15,0,-1,-2,-1,-1,1,1,0
1.51705E+15,0,-1,-3,-1,0,-2,1,-1
1.51705E+15,-2,0,-2,-2,-1,-1,-1,0
1.51705E+15,-1,-2,-1,-1,-1,1,-1,1
1.51705E+15,0,0,0,0,-1,-1,-2,-1
1.51705E+15,0,-2,0,-1,-2,-1,-1,-2
1.51705E+15,-1,-1,-2,-2,0,1,1,-1
1.51705E+15,1,-2,-1,-2,-1,0,-1,-2
1.51705E+15,-2,-1,-1,-1,-1,-1,-1,-2
1.51705E+15,-1,0,-2,1,1,0,0,0
1.51705E+15,-1,-1,-1,3,-2,-2,-2,0
1.51705E+15,1,-1,1,-1,-1,-1,-2,-1
1.51705E+15,0,-2,-1,-1,-2,-1,-1,-1
1.51705E+15,-2,-2,0,0,-1,-2,-1,0
1.51705E+15,1,0,-1,-2,-1,0,-1,-2
1.51705E+15,-3,-1,0,-2,-1,0,-2,-1
1.51705E+15,0,-1,-2,-1,-2,1,-1,0
1.51705E+15,-1,-2,0,-2,-1,-3,-1,-1
1.51705E+15,-1,-1,-1,-1,0,-1,-1,-1
1.51705E+15,0,-2,-1,-1,0,-2,-1,-1
1.51705E+15,-2,-1,-2,-1,0,-1,-1,-2
1.51705E+15,0,-2,-4,1,-1,-1,0,-1
1.51705E+15,0,-2,0,-2,-1,-2,-1,-2
1.51705E+15,0,-1,-2,-1,-1,-1,-1,1
1.51705E+15,-2,-2,-2,0,1,-2,-1,-2
1.51705E+15,-1,0,0,-1,-3,1,-2,-1
1.51705E+15,-2,-2,-2,0,-1,-2,-1,-1
1.51705E+15,-3,0,-2,-1,0,-3,0,-2
1.51705E+15,-1,-3,-3,-3,0,2,0,-1
1.51705E+15,-1,-2,-1,0,-2,-1,-1,-3
1.51705E+15,-1,-2,-1,0,-2,-1,-1,0
1.51705E+15,-1,-1,-2,-1,-1,-2,-1,-3
1.51705E+15,0,-1,2,0,-4,-2,-1,-1
1.51705E+15,-1,-1,-3,-3,-1,-2,-1,-1
1.51705E+15,-1,-2,0,-2,0,1,-1,-1
1.51705E+15,0,-1,-2,1,0,0,-1,1
1.51705E+15,0,2,-1,-1,0,-4,-1,-2
1.51705E+15,1,-1,0,-1,-1,-2,-1,-1
1.51705E+15,-1,0,1,-1,-2,-1,-2,-1
1.51705E+15,-3,-1,-2,-1,-2,1,-2,0
1.51705E+15,0,-1,-2,0,-1,-1,-2,-1
1.51705E+15,-2,-1,-1,-1,-1,1,-1,0
1.51705E+15,0,-1,-1,0,0,-1,-1,-2
1.51705E+15,-1,-1,-1,-1,-1,-3,1,-1
1.51705E+15,-1,0,-2,-2,-1,-1,-1,1
1.51705E+15,-1,-1,-2,-2,1,0,-1,-1
1.51705E+15,0,-1,-2,-1,-2,1,-2,-1
1.51705E+15,0,0,-1,-1,-2,-1,0,-1
1.51705E+15,-1,-1,-2,0,0,-2,-1,-1
1.51705E+15,-1,0,0,2,-1,-2,1,0
1.51705E+15,-1,-1,-2,0,-1,0,-2,0
1.51705E+15,-3,-1,0,-2,-1,-1,-1,-2
1.51705E+15,-1,-2,-2,0,0,-2,0,-3
1.51705E+15,-2,-1,-1,-3,-2,-1,-1,0
1.51705E+15,-1,-1,1,-1,0,-2,-1,0
1.51705E+15,-2,-1,0,-1,-1,0,-1,-1
1.51705E+15,0,-2,0,-2,-1,1,-3,-2
1.51705E+15,-1,-2,0,-1,-2,0,-2,0
1.51705E+15,0,0,-2,-2,0,-3,0,-1
1.51705E+15,2,-1,-3,0,-2,-2,-2,1
1.51705E+15,-2,-1,-1,0,-2,0,-1,-2
1.51705E+15,0,-2,-1,-1,0,-1,0,-2
1.51705E+15,-2,-1,-3,-1,0,-1,0,-3
1.51705E+15,-1,-2,-1,0,-1,-1,-2,-1
1.51705E+15,-1,-1,-1,0,0,-1,-1,-1
1.51705E+15,-1,0,-2,-2,-2,0,-2,0
1.51705E+15,-1,-1,-1,-1,-1,-2,-1,0
1.51705E+15,-2,0,-1,0,-1,-1,-2,-2
1.51705E+15,-1,-1,-2,1,-2,0,0,-1
1.51705E+15,-1,-2,-3,0,0,-1,-1,0
1.51705E+15,-1,0,-1,0,-1,-1,-2,-1
1.51705E+15,1,-1,1,-1,0,-1,-1,-2
1.51705E+15,-2,1,0,-2,-2,-2,-3,0
1.51705E+15,-1,0,0,-1,-1,-1,-2,-1
1.51705E+15,-1,-1,-1,0,-3,-1,0,0
1.51705E+15,-1,0,-2,0,-1,-1,1,-2
1.51705E+15,-1,-2,-1,-1,-2,-1,1,-1
1.51705E+15,1,-1,-1,-1,0,-1,0,-2
1.51705E+15,-2,-2,-1,-2,-2,0,-1,-1
1.51705E+15,-1,0,-1,-2,-1,-3,-1,-1
1.51705E+15,1,-1,-2,0,0,-1,0,1
1.51705E+15,-1,-1,-3,1,-3,-2,-1,-1
1.51705E+15,-2,-3,0,-2,-1,-1,0,0
1.51705E+15,0,-2,0,0,0,0,-1,-1
1.51705E+15,-1,-2,-2,0,-2,-2,-1,1
1.51705E+15,-1,1,0,0,-2,-1,0,0
1.51705E+15,1,-1,-2,-1,0,-2,0,-4
1.51705E+15,-2,-1,0,-3,-1,0,-1,0
1.51705E+15,-1,0,0,0,-1,-2,-2,-1
1.51705E+15,-2,-3,-1,-2,0,-1,-1,-1
1.51705E+15,0,-2,-1,0,-1,-1,-1,-1
1.51705E+15,-1,-1,-1,0,-2,-1,0,-1
1.51705E+15,0,-3,-2,-2,-2,2,0,-2
1.51705E+15,1,0,-1,-2,-2,-1,-2,-2
1.51705E+15,-2,-2,-1,-1,-1,1,-2,-2
1.51705E+15,-1,0,0,-2,-1,-2,0,1
1.51705E+15,0,0,-2,-1,1,-1,-1,1
1.51705E+15,-1,1,-1,0,-1,-1,-1,0
1.51705E+15,-2,0,-2,-2,-1,-3,-2,0
1.51705E+15,0,-1,-1,-2,-1,-1,0,-3
1.51705E+15,-2,0,-1,-1,-2,0,-1,-1
1.51705E+15,-1,-1,1,0,-1,-1,0,-3
1.51705E+15,-2,-1,0,-2,-2,-1,-1,-1
1.51705E+15,-1,-1,-1,-1,-1,-1,-1,-1
1.51705E+15,0,-1,-1,-2,-1,-3,-2,1
1.51705E+15,0,-1,-1,-3,1,-1,-1,-3
1.51705E+15,-2,0,-1,-1,-2,0,-2,-1
1.51705E+15,-2,-2,-2,0,0,0,-3,-2
1.51705E+15,-1,-2,0,-2,0,0,-1,-2
1.51705E+15,-1,-1,0,0,-2,1,-2,0
1.51705E+15,0,0,0,0,-1,-1,-1,-3
1.51705E+15,-1,-1,-1,-1,-1,-2,0,-1
1.51705E+15,-2,-1,1,-1,-1,-2,-1,-3
1.51705E+15,-1,-2,-2,0,-2,-2,0,-2
1.51705E+15,-1,0,0,-1,0,-1,1,2
1.51705E+15,0,-1,-1,0,-2,-1,-1,2
1.51705E+15,-1,-2,-3,-3,-2,0,-1,-1
1.51705E+15,-1,-2,0,-2,0,-1,-2,0
1.51705E+15,0,-2,2,-2,-2,-2,-1,-2
1.51705E+15,2,-2,-1,-1,-1,0,-1,-1
1.51705E+15,-1,-1,-1,0,0,-1,0,-1
1.51705E+15,-2,-1,-3,-2,-2,0,0,0
1.51705E+15,0,-1,-1,-1,1,2,-2,-2
1.51705E+15,-1,1,-1,0,-1,-1,-1,-1
1.51705E+15,-2,-1,-1,-1,0,-1,-2,-2
1.51705E+15,-1,0,-1,-2,0,-1,0,-1
1.51705E+15,-1,0,-2,-1,-1,-2,-1,-1
1.51705E+15,-1,-2,-1,-3,0,-1,0,-1
1.51705E+15,1,-1,-1,-2,-1,-1,0,-1
1.51705E+15,-1,-1,-1,-1,-1,-1,-3,-1
1.51705E+15,-1,0,-1,-2,-1,0,0,-1
1.51705E+15,-1,-1,-2,-2,0,0,-1,-1
1.51705E+15,-2,-2,0,-1,0,0,0,0
1.51705E+15,-1,-3,1,-1,0,-1,1,0
1.51705E+15,-2,-2,-1,-2,-1,-1,-1,-1
1.51705E+15,-3,-1,0,-1,-2,0,-1,-2
1.51705E+15,-1,0,-1,1,0,0,-2,0
1.51705E+15,0,-1,0,-2,-2,-2,0,0
1.51705E+15,-1,-1,-1,-1,-1,-1,-1,0
1.51705E+15,-1,-1,-2,0,1,1,-1,-1
1.51705E+15,-1,-2,-2,-2,-3,-1,0,-1
1.51705E+15,-3,0,-2,-1,0,-1,0,-3
1.51705E+15,0,-2,-2,-1,0,-2,1,0
1.51705E+15,-1,-1,-1,-2,-1,-4,-2,0
1.51705E+15,0,-1,-2,-1,-1,-2,-1,-1
1.51705E+15,0,-1,-1,0,-1,1,0,0
1.51705E+15,0,-1,-1,-2,-2,0,-2,-1
1.51705E+15,-1,-1,-1,1,-1,0,-2,-3
1.51705E+15,-1,0,0,-1,-1,0,-2,-1
1.51705E+15,0,-3,-2,-2,0,0,-1,-1
1.51705E+15,-1,-1,0,0,1,-1,0,-1
1.51705E+15,0,-1,-1,-3,-1,0,-1,0
1.51705E+15,-1,0,1,-1,0,-1,-1,-1
